"70","Blessed Again","0","large","Benz","benz","1989","An ivory cream flower with lighter midribs and a green throat.","24","5","t","d","m","5.00","1","8"
"71","Blessing","0","large","Applegate","applegate","1989","This delightful rose and cream bitone has darker pink veins and a yellow to green throat.","22","5","d","s","m","6.50","0","0"
"72","Blizzard Bay","0","large","Salter","salter","1995","One of the best 'near whites ' available, this flower has a narrow gold edge and a yellow to green throat.","28","6","t","s","l","7.00","1","3"
"73","Blonde is Beautiful","0","large","Harris-Benz","harris-benz","1985","A full,ruffled, light creamy lemon yellow flower with a green throat.","28","6","t","s","m","4.50","1","10"
"74","Blood Spot","0","large","Millikan, B.","millikan-b","1983","A good blood red flower with a darker eye and a green yellow throat. A neat flower that shows up later in the summer.","25","5","t","s","m,l","5.00","1","6"
"75","Blue Happiness","0","large","Spalding, W.","spalding-w","1977","A ruffled pink beauty with a silky appearance. The colour deepens towards the petal edges and there is a faint darker halo around the yellow green throat.","21","7","d","s","e","5.50","0","0"
"76","Blushing Angel","0","large","Wild","wild","1972","A light lemon yellow flower with pink edges to both the sepals and petals. The flowers have a green throat and almost white midribs. This daylily may be old but it produces masses of flowers as the scapes (stems)are branched like a tree making it a valuable asset for breeders as well as a good garden plant. It is seldom offered for sale in the U.K.","26","6","d","d","m","4.00","1","1"
"77","Bonanza","0","large","Ferrick","ferrick","1954","An old favourite, this distinctive orange-yellow flower has a strong maroon eyezone.","34","5","d","d","m","3.00","1","10"
"78","Booger","0","large","Durio","durio","1985","This large pink flower has pearly white midribs, a small green yellow throat and is edged with piecrust ruffling.","26","7","t","e","e,m","5.50","1","5"
"79","Borgia Queen","0","large","Munson, R.W.","munson-r-w","1986","A ruffled and slightly recurved flower of silvery mauve pink with a deep mauve eyezone and a lemon to green throat.","26","5","t","e","m,l","6.00","1","5"
"80","Boulderbrook Serenity","0","large","Elliot","elliot","1988","A large ,gently ruffled, radiant golden yellow flower with an olive green throat. A great performer here.","18","7","d","s","m","6.50","1","8"
"81","Brand New Lover","0","large","Brooks","brooks","1988","Round, flat coral rose bitone with a narrow rouged halo and delicate gold edging on the petals. Good rebloom.","28","5","t","s","e,m","4.50","0","0"
"82","Bright Beacon","0","large","Joiner","joiner","1990","An intriguing copper brown blend with a dark olive green throat.An attractive and unusual colour that draws attention.","30","6","d","e","m","5.00","0","0"
"83","Bright Spangles","0","large","Baker","baker","1956","An attractive colour combination of red dusted with gold. A tall plant and aptly named.","42","5","d","d","e,m","4.00","1","10"
"84","Brocaded Gown","0","large","Millikan, B.","millikan-b","1979","A beautifully ruffled and frilly creamy lemon yellow flower. Stout Medal winner 1987.","26","6","d","s","e,m","4.50","1","8"
"85","Bubbling Brown Sugar","0","large","Weston","weston","1987","A yellow cinnamon blend with a brown eyezone and a yellow green throat.","27","6","t","d","m","5.00","1","9"
"86","Burmese Buddah","0","large","Munson, R.W.","munson-r-w","1984","A broad, ruffled golden yellow flower of good substance.","32","6","t","e","e,m","5.00","0","0"
"87","Burning Inheritance","0","large","Salter","salter","1994","A large red flower with whitish midribs. Later blooms are more orange red.","28","6","t","s","m","5.50","1","10"
"88","Bursting Bubble","0","large","Shooter, E.","shooter-e","1998","A cream pink blend with a faint lavender rose eye and a light green throat.","28","6","d","s","m","5.00","1","8"
"89","Buzz Bomb","0","large","Hall","hall","1961","A vibrant red flower with an orange influence which really stands out in the garden.","24","5","d","d","e,m","3.00","0","0"
"90","By Myself","0","large","Peck","peck","1971","A large, light gold self. An award winner and a real 'Golden Oldie'.","32","7","t","d","m","4.00","1","6"
"91","Cabbage Flower","0","large","Kirchhoff, D.","kirchhoff-d","1984","An award winning pastel yellow double flower which has proved to be consistent her. Registered as extra early but we find it blooms a bit later.","17","5","d","e","e","5.50","1","10"
