"14","American Revolution","american-revolution","0","large","Wild","wild","1972","A velvety, dark wine red with a yellow throat and small green heart.One of the best near blacks for the UK climate.","28","6","d","d","m","4.00","1","4"
"15","America's Most Wanted","americas-most-wanted","2018","large","Carr","carr","1997","A beautifully ruffled, creamy golden yellow flower with a green throat.","27","6","t","e","e","8.00","1","8"
"16","Anastasia","anastasia","0","large","Salter","salter","1985","An early introduction from Jeff Salter, this unique yellow daylily has a lime green throat and a pleated, almost sculpted form.","20","7","t","e","m","6.50","1","8"
"17","Ann Kelley","ann-kelley","0","large","Webster","webster","1983","Ruffled deep rose pink with a long blooming season. An outstanding performer that explodes with flowers when established.","28","6","t","s","e,m","5.00","1","1"
"18","Annie Golightly","annie-golightly","0","large","Hughes","hughes","1974","Bright,almost 'fire engine red' flowers. A vigorous grower and good garden plant.","28","6","t","s","m","4.50","1","10"
"19","Antique Rose","antique-rose","0","large","Sikes","sikes","1987","A beautiful, delicate looking rose-pink bitone. The colour deepens towards the lavishly ruffled petal edges while the sepals are a lighter shade of pink.","25","6","d","s","m","6.50","0","0"
"20","Apache Uprising","apache-uprising","0","large","Benz","benz","1991","Ruffled scarlet flowers are carried high on sturdy, well branched scapes giving a wonderful late season display.","34","6","t","d","l","6.50","1","7"
"21","Apollodorus","apollodorus","0","large","Munson, R.W.","munson-r-w","1984","Violet purple flowers of exceptional clarity, usually larger than registered. They are triangular in form and somewhat unruly in cool weather-but thr colour is irresistible.","28","5","t","e","m,l","4.50","1","10"
"22","Apple Tart","apple-tart","0","large","Hughes","hughes","1974","Bright apple red flowers that really stand out in the garden.","28","6","t","d","e,m","4.00","1","3"
"23","April in Paris","april-in-paris","2018","large","Moldovan","moldovan","1992","Cream pink with a rose pink eyezone, a yellow green throat and a deep green heart. A gold edge is apparent in warmer weather.","22","5","t","d","e","7.50","1","10"
"24","Aquamarine","aquamarine","0","large","Lambert","lambert","1983","An exquisite star shaped flower, renowned for its colour of blue influenced lavender.","28","7","d","d","e,m","7.50","1","5"
"25","Arctic Snow","arctic-snow","0","large","Stamile","stamile","1986","A creamy near white flower with contrasting black anthers. Always in demand.","23","6","t","d","m","5.00","0","0"
"26","Arpeggio","arpeggio","0","large","Kirchhoff, D.","kirchhoff-d","1978","Palest cream pink double flowers.","20","5","d","s","m","5.00","1","6"
"27","Arthur Moore","arthur-moore","0","large","Henry","henry","1979","Round and ruffled blooms of a soft apricot to pastel orange in colour.","24","6","d","d","m","4.00","1","5"
"28","Aten","aten","0","large","Kraus","kraus","1951","An intense golden-orange colour, this flower shines out like a beacon.","30","5","d","d","m,l","3.50","1","10"
"29","Atlanta Bouquet","atlanta-bouquet","0","large","Petree","petree","1985","Pretty flowers of pale yellow with lightly pleated petals and a yellow green throat.","27","6","t","e","m","5.00","1","10"
"30","Atlanta Cover Girl","atlanta-cover-girl","0","large","Petree","petree","1984","A light peach pink blend with ruffled petals edged in gold. A rose pink halo surrounds the yellow green throat.","27","6","t","s","m","5.00","1","5"
"31","Atlanta Fringe Benefit","atlanta-fringe-benefit","0","large","Petree","petree","1985","A full formed bright yellow flower with a remarkable fringed edge.","21","5","t","d","e,m","5.00","1","10"
"32","Atlanta Full House","atlanta-full-house","0","large","Petree","petree","1984","A full, rounded and slightly recurved lemon yellow flower with a green heart. A class act.","27","7","t","d","m","5.00","1","10"
"33","August Frost","august-frost","0","large","Trimmer","trimmer","1995","A near white flower with a yellow to green throat and a gold wire edge. Always popular. ","34","6","t","d","l","8.50","1","4"
"34","Autumn Wood","autumn-wood","0","large","Dougherty","dougherty","1991","These ruffled flowers are an exquisite blend of peach pink and yellow hues.","24","6","d","d","m","7.00","1","8"
"35","Ava Michelle","ava-michelle","0","large","Flory","flory","1960","A rich yellow flower with a green throat. Fragrant. Stout Medal winner 1970.","18","6","d","s","e,m","3.50","1","4"
"36","Awakening Dream","awakening-dream","0","large","Stamile","stamile","1995","This flower is a creamy yellow with a striking purple eye and a purple picotee edge.","26","5","t","e","m","6.50","1","6"
"37","Awash with Colour","awash-with-colour","0","large","Stamile","stamile","1994","A blend of rose pink and mauve these are full, very ruffled flowers","32","6","t","e","m","5.00","1","10"
"38","Aztec Furnace","aztec-furnace","0","large","Stamile","stamile","1987","This daylily is a fiery blend of burnt orange and russet red.","27","5","t","d","e,m","4.00","1","4"
"39","Bandit Man","bandit-man","2018","large","Stevens","stevens","1979","A burnt orange flower with a bold red eye and a gold throat.","28","6","t","d","m","4.00","1","10"
"40","Barbara Alsop","barbara-alsop","0","large","Owen, P.","owen-p","2012","Mauve with a large lavender purple eyezone and edge. Named after a very special lady who did so much for the British Hosta and Hemerocallis Society.","38","7","t","s","e,m","10.00","0","0"
"41","Barbara Mitchell","barbara-mitchell","0","large","Pierce","pierce","1984","A superbly formed pink flower with wide, overlapping petals. Stout Medal winner in 1992 and still very popular.","20","5","d","s","m","5.00","1","3"
"42","Bayou Bride","bayou-bride","0","large","Salter","salter","1995","Pale cream flower with purple eye and green throat. Edged in gold on warmer days. ","25","5","t","s","m","6.50","1","7"
"43","Beautiful Edgings","beautiful-edgings","0","large","Copenhaver","copenhaver","1989","A well named daylily, with ruffled cream flowers turning mauve pink towards the edge.","30","7","d","s","m","5.50","1","8"
"44","Beauty to Behold","beauty-to-behold","0","large","Sellers","sellers","1978","A ruffled and recurved flower of lemon yellow with a green throat. Long flowering season.","24","5","d","s","m","4.00","1","7"
"45","Becky Lynn","becky-lynn","0","large","Guidry","guidry","1977","A gorgeous ruffled flower of deep pink with a green throat and white midribs. Awarded the Stout Medal in 1989.","20","7","d","e","e","4.50","0","0"
"46","Bedarra Island","bedarra-island","2018","large","Smith, S.P.","smith-s-p","1981","A sunfast medium red with a yellow to green throat. Strong and vigorous.","28","6","t","s","e,m","4.00","1","6"
"47","Beijing","beijing","0","large","Munson, R.W.","munson-r-w","1987","Very ruffled flowers of pale pastel pink.","24","5","t","s","m","5.00","1","7"
"48","Bela Lugosi","bela-lugosi","0","large","Hanson","hanson","1995","A deep reddish purple flower with a green yellow throat.","33","6","t","s","m","6.50","1","4"
"49","Beloved Deceiver","beloved-deceiver","0","large","Salter","salter","1996","Creamy white flower with a large pink-red eyezone and a green throat.","24","5","t","e","m,l","6.50","1","10"
"50","Ben Adams","ben-adams","0","large","Salter","salter","1994","A beautiful creamy yellow ruffled flower with a green throat. More cream than yellow when it is warm weather and vice versa when cool.","25","6","t","d","e,m","6.50","1","10"
"51","Benchmark","benchmark","0","large","Munson, R.W.","munson-r-w","1980","A mauve lavender flower with pearly white midribs and a cream chartreuse throat. It is lightly ruffled and slightly triangular in form.","30","6","t","e","m","5.00","1","5"
"52","Berlin Red","berlin-red","0","large","Tamberg","tamberg","1983","A bright red flower with a yellow throat. A good strong daylily that always performs well here. ","30","6","t","d","m","4.50","1","10"
"53","Berlin Tallboy","berlin-tallboy","0","large","Tamberg","tamberg","1989","Pale orange flower with a deeper halo. Very tall scapes.","72","6","t","d","m","6.00","0","0"
"54","Bernard Thompson","bernard-thompson","0","large","Coe","coe","1969","Bright golden orange blooms held aloft on tall scapes. Bred and raised in UK.","38","5","d","e","m,l","4.00","1","6"
"55","Bette Davis Eyes","bette-davis-eyes","0","large","Kirchhoff, D.","kirchhoff-d","1982","A buff pink flower with a grape purple eyezone and a yellow green throat.","23","6","d","e","e","4.00","1","10"
"56","Betty Benz","betty-benz","2018","large","Harris-Benz","harris-benz","1987","Beautiful cream pink flower with a bright green throat.","32","6","d","d","m","6.00","1","6"
"57","Betty Jenkins","betty-jenkins","0","large","Wilson","wilson","1989","An exquisitely beautiful rich pink ruffled flower. It would be even better if it was just a couple of inches taller.","22","7","d","s","e,m","6.00","0","0"
"58","Betty Warren Woods","betty-warren-woods","0","large","Munson, R.W.","munson-r-w","1987","An immaculate,very ruffled cream yellow flower with lemon highlights and a small green throat. Often reblooms.","24","5","t","e","e,m","8.50","1","7"
"59","Betty Woods","betty-woods","0","large","Kirchhoff, D.","kirchhoff-d","1980","Vivid golden yellow double flowers. Long season of bloom when established. Stout Medal winner 1991","26","6","d","d","e","5.00","0","0"
"60","Big Apple","big-apple","2018","large","Sellers","sellers","1986","Cerise red flower with a prominent white to green throat.","26","5","d","s","e,m","4.50","1","9"
"61","Big Bird","big-bird","0","large","Griesbach-Klehm","griesbach-klehm","1978","Quite a tall yellow daylily with a large unusual flower. An open, airy form, the flowers seem to float above the foliage.","34","7","t","d","e,m","5.00","1","6"
"62","Big Blue","big-blue","2018","large","Stamile","stamile","1998","A large , very ruffled flower of lavender pink with a yellow green throat.","24","7","t","d","m","6.50","1","8"
"63","Big Snowbird","big-snowbird","0","large","Millikan, B.","millikan-b","1990","A ruffled near white flower with a chartreuse throat.","28","6","d","d","m","6.00","1","8"
"64","Bill Norris","bill-norris","0","large","Kirchhoff, D.","kirchhoff-d","1993","Exquisitly formed, beautifully ruffled flowers of bright golden yellow.Stout Medal winner 2002.","29","5","t","s","e,m","6.00","0","0"
"65","Birthday Honours","birthday-honours","2018","large","Lytton","lytton","2008","A superb, ruffled deep scarlet flower with a green throat. One of the best reds.","25","5","t","d","e,m","9.50","1","10"
"66","Black Adder","black-adder","0","large","Wyers, J.","wyers-j","2006","A very dark red, or 'near black' flower with a yellow throat. Raised on the Isle of Wight.","42","5","t","s","m","8.50","1","4"
"67","Black Ambrosia","black-ambrosia","0","large","Salter","salter","1991","A very dark purple with a green throat surrounded by an almost black halo.","28","5","t","s","m","6.50","1","8"
"68","Black Eye","black-eye","0","large","Goldner","goldner","1984","A mauve pink flower with a deep purple eyezone.","30","5","t","d","m","4.50","1","5"
"69","Black Magic","black-magic","0","large","Douglas","douglas","1949","A real old classic daylily in very dark red. Still popular.","38","5","d","d","m,l","3.00","1","8"
"70","Blessed Again","blessed-again","0","large","Benz","benz","1989","An ivory cream flower with lighter midribs and a green throat.","24","5","t","d","m","5.00","1","8"
"71","Blessing","blessing","0","large","Applegate","applegate","1989","This delightful rose and cream bitone has darker pink veins and a yellow to green throat.","22","5","d","s","m","6.50","0","0"
"72","Blizzard Bay","blizzard-bay","0","large","Salter","salter","1995","One of the best 'near whites ' available, this flower has a narrow gold edge and a yellow to green throat.","28","6","t","s","l","7.00","1","3"
"73","Blonde is Beautiful","blonde-is-beautiful","0","large","Harris-Benz","harris-benz","1985","A full,ruffled, light creamy lemon yellow flower with a green throat.","28","6","t","s","m","4.50","1","10"
"74","Blood Spot","blood-spot","0","large","Millikan, B.","millikan-b","1983","A good blood red flower with a darker eye and a green yellow throat. A neat flower that shows up later in the summer.","25","5","t","s","m,l","5.00","1","6"
"75","Blue Happiness","blue-happiness","0","large","Spalding, W.","spalding-w","1977","A ruffled pink beauty with a silky appearance. The colour deepens towards the petal edges and there is a faint darker halo around the yellow green throat.","21","7","d","s","e","5.50","0","0"
"76","Blushing Angel","blushing-angel","0","large","Wild","wild","1972","A light lemon yellow flower with pink edges to both the sepals and petals. The flowers have a green throat and almost white midribs. This daylily may be old but it produces masses of flowers as the scapes (stems)are branched like a tree making it a valuable asset for breeders as well as a good garden plant. It is seldom offered for sale in the U.K.","26","6","d","d","m","4.00","1","1"
"77","Bonanza","bonanza","0","large","Ferrick","ferrick","1954","An old favourite, this distinctive orange-yellow flower has a strong maroon eyezone.","34","5","d","d","m","3.00","1","10"
"78","Booger","booger","0","large","Durio","durio","1985","This large pink flower has pearly white midribs, a small green yellow throat and is edged with piecrust ruffling.","26","7","t","e","e,m","5.50","1","5"
"79","Borgia Queen","borgia-queen","0","large","Munson, R.W.","munson-r-w","1986","A ruffled and slightly recurved flower of silvery mauve pink with a deep mauve eyezone and a lemon to green throat.","26","5","t","e","m,l","6.00","1","5"
"80","Boulderbrook Serenity","boulderbrook-serenity","0","large","Elliot","elliot","1988","A large ,gently ruffled, radiant golden yellow flower with an olive green throat. A great performer here.","18","7","d","s","m","6.50","1","8"
"81","Brand New Lover","brand-new-lover","0","large","Brooks","brooks","1988","Round, flat coral rose bitone with a narrow rouged halo and delicate gold edging on the petals. Good rebloom.","28","5","t","s","e,m","4.50","0","0"
"82","Bright Beacon","bright-beacon","0","large","Joiner","joiner","1990","An intriguing copper brown blend with a dark olive green throat.An attractive and unusual colour that draws attention.","30","6","d","e","m","5.00","0","0"
"83","Bright Spangles","bright-spangles","0","large","Baker","baker","1956","An attractive colour combination of red dusted with gold. A tall plant and aptly named.","42","5","d","d","e,m","4.00","1","10"
"84","Brocaded Gown","brocaded-gown","0","large","Millikan, B.","millikan-b","1979","A beautifully ruffled and frilly creamy lemon yellow flower. Stout Medal winner 1987.","26","6","d","s","e,m","4.50","1","8"
"85","Bubbling Brown Sugar","bubbling-brown-sugar","0","large","Weston","weston","1987","A yellow cinnamon blend with a brown eyezone and a yellow green throat.","27","6","t","d","m","5.00","1","9"
"86","Burmese Buddah","burmese-buddah","0","large","Munson, R.W.","munson-r-w","1984","A broad, ruffled golden yellow flower of good substance.","32","6","t","e","e,m","5.00","0","0"
"87","Burning Inheritance","burning-inheritance","0","large","Salter","salter","1994","A large red flower with whitish midribs. Later blooms are more orange red.","28","6","t","s","m","5.50","1","10"
"88","Bursting Bubble","bursting-bubble","0","large","Shooter, E.","shooter-e","1998","A cream pink blend with a faint lavender rose eye and a light green throat.","28","6","d","s","m","5.00","1","8"
"89","Buzz Bomb","buzz-bomb","0","large","Hall","hall","1961","A vibrant red flower with an orange influence which really stands out in the garden.","24","5","d","d","e,m","3.00","0","0"
"90","By Myself","by-myself","0","large","Peck","peck","1971","A large, light gold self. An award winner and a real 'Golden Oldie'.","32","7","t","d","m","4.00","1","6"
"91","Cabbage Flower","cabbage-flower","0","large","Kirchhoff, D.","kirchhoff-d","1984","An award winning pastel yellow double flower which has proved to be consistent her. Registered as extra early but we find it blooms a bit later.","17","5","d","e","e","5.50","1","10"
"92","California Sunshine","california-sunshine","0","large","Chesnik, J.","chesnik-j","1985","Bright yellow self, as the name suggests.","33","7","t","s","e,m","5.00","1","8"
"93","Caliphs Robes","caliphs-robes","0","large","Munson, R.W.","munson-r-w","1981","A mauve flower with a plum eyezone and a yellow throat. The sepals are paler than the petals.","28","6","t","e","m","4.50","1","8"
"94","Call Girl","call-girl","0","large","Peck","peck","1980","Frilly, round and ruffled flowers from 'Dance Ballerina Dance' breeding. The colour is a sparkling melon to apricot.","27","6","t","d","m","4.50","1","6"
"95","Cameroons","cameroons","0","large","Munson, R.W.","munson-r-w","1984","This distinctive daylily is a rich claret purple colour with a chalky pink watermark eyezone and a yellow to green throat. Sepals twist and curl attractively","28","5","t","s","m","7.00","1","9"
"96","Canadian Border Patrol","canadian-border-patrol","0","large","Salter","salter","1995","Ivory cream with a purple eyezone and edge. One of the best picotee edged daylilies.","28","6","t","s","e,m","9.50","0","0"
"97","Candor","candor","0","large","Whatley","whatley","1988","A majestic, ruffled, creamy white of good substance with a large green throat. Rarely offered for sale.","28","6","t","s","m","6.50","1","6"
"98","Cantique","cantique","0","large","Bryant","bryant","1986","A fine, clear pink flower with a tiny green throat. A daylily that deserves wider recognition.","22","5","d","d","m","4.00","1","2"
"99","Cape Cod","cape-cod","0","large","Wild","wild","1970","A deep, wine red flower with a tangerine throat.","34","5","d","d","e,m","4.00","0","0"
"100","Caribbean Frank League","caribbean-frank-league","0","large","Talbott","talbott","1993","A very dark, almost black, red flower with an even darker black-red eyezone and an emerald green throat.","24","5","t","e","m","6.00","1","9"
"101","Carlotta","carlotta","0","large","Millikan, B.","millikan-b","1986","A round and ruffled cherry red and pink blend.","25","5","d","s","e,m","5.00","1","8"
"102","Carrot","carrot","0","large","Brown, E.W.","brown-e-w","1985","A carrot orange flower with lighter midribs.","25","6","t","d","m","4.50","1","8"
"103","Cartwheels","cartwheels","0","large","Fay","fay","1956","Deep yellow flowers, the segments of which resemble the spokes of a wheel. An historic cultivar which was awarded the Stout Medal in 1966 ","30","5","d","d","m","2.50","1","10"
"104","Casino Gold","casino-gold","0","large","Brooks","brooks","1991","Another good one from Bob Brooks, this sunny yellow gold flower is a sibling to 'Icy Lemon'.","32","6","t","s","m","5.50","1","9"
"105","Catherine Neal","catherine-neal","0","large","Carpenter, J.","carpenter-j","1981","Stunning deep purple flowers of round and ruffled form. Not as late blooming here as registered but usually mid-late.","30","6","d","d","m,l","4.00","1","6"
"106","Catherine Woodbery","catherine-woodbery","0","large","Childs","childs","1967","An ethereal blend of lavender, pink and cream with a pale green throat. Delicate looking and graceful.","30","6","d","d","m,l","4.00","0","0"
"107","Caviar","caviar","0","large","Moldovan","moldovan","1984","A very dark maroon red with a small yellow green throat.","26","5","t","d","m","4.00","1","10"
"108","Celestial City","celestial-city","0","large","Moldovan","moldovan","1990","A pastel ivory flower brushed with pale lavender and edged in white.","23","6","t","e","e","5.00","1","3"
"109","Celestial Eyes","celestial-eyes","0","large","Lambertson","lambertson","2000","A blend of cream,peach and pink with a stunning slate violet eye and matching edge.","24","6","t","s","e,m","10.00","1","8"
"110","Challenger","challenger","0","large","Stout","stout","1949","A tall, dark red daylily which was part of Dr Stout's pioneering work with this colour. ","48","5","d","e","m","4.00","1","6"
"111","Chance Encounter","chance-encounter","0","large","Stamile","stamile","1994","An attractive and unusual shade of pink, registered as a raspberry rose blend. Petals are ruffled with a hint of a fine gold edge. Really stands out from the crowd.","25","6","t","d","e,m","9.00","0","0"
"112","Charles Johnston","charles-johnston","0","large","Gates","gates","1983","A rounded, lightly ruffled cherry red flower with a slight bluish cast and a yellow green throat.","24","6","t","s","e,m","4.00","1","5"
"113","Charlie Pierce Memorial","charlie-pierce-memorial","0","large","Pierce","pierce","1987","A round and ruffled mauve-lavender flower with a purple eye and a green throat.","24","6","d","s","e,m","5.50","0","0"
"114","Cherry Cheeks","cherry-cheeks","0","large","Peck","peck","1968","A deep cherry pink flower with a cream throat and contrasting black anthers.","28","6","t","d","m,l","3.00","1","2"
"115","Cherry Eyed Pumpkin","cherry-eyed-pumpkin","0","large","Kirchhoff, D.","kirchhoff-d","1991","A pumpkin coloured flower with a red eye. Flowers sometimes triangular in shape instead of round.","28","6","t","s","e","5.00","1","9"
"116","Chestnut Lane","chestnut-lane","0","large","Blyth","blyth","1981","An eyecatching daylily from Australia. Tall and stately, the flower is golden-brown with a rich chestnut eyezone and a gold throat.","36","6","t","e","e,m","4.00","0","0"
"117","Chestnut Mountain","chestnut-mountain","0","large","Salter","salter","1989","A ruffled flower of light golden yellow overlaid with tan.","24","6","t","e","e,m","7.50","1","4"
"118","Chicago Antique Tapestry","chicago-antique-tapestry","0","large","Marsh-Klehm","marsh-klehm","1985","This rose pink flower has darker veining and a texture that imparts a slightly stippled effect.","28","6","t","d","m","6.50","1","4"
"119","Chicago Apache","chicago-apache","0","large","Marsh","marsh","1981","A ruffled flower of deep scarlet. One of the most popular reds and an excellent performer.","27","5","t","d","m","4.00","1","5"
"120","Chicago Fire","chicago-fire","0","large","Marsh","marsh","1983","Fiery, orange red flowers in abundance.","34","6","t","s","m","4.00","1","4"
"121","Chicago Knobby","chicago-knobby","0","large","Marsh","marsh","1974","A light purple flower with a deeper centre and tightly ruffled edges. ","22","6","t","s","e,m","4.00","1","10"
"122","Chicago Picotee Memories","chicago-picotee-memories","0","large","Marsh-Klehm","marsh-klehm","1987","A creamy white flower with a vivid purple eyezone and matching picotee edge. Still one of the best eyed and edged daylilies for our climate.","30","6","t","d","e,m","5.50","1","5"
"123","Chicago Queen","chicago-queen","0","large","Marsh","marsh","1974","Mauve-purple flowers are produced in abundance on this fine garden plant. A favourite here.","28","7","t","s","m","4.00","1","4"
"124","Chicago Royal","chicago-royal","0","large","Marsh","marsh","1970","Large flowers of a rich plum purple. Taller here than registered. ","24","7","t","s","m","3.50","1","4"
"125","Chicago Royal Robe","chicago-royal-robe","0","large","Marsh","marsh","1977","A reddish purple flower with a green throat that remains popular.","25","6","t","s","e","3.50","1","10"
"126","Chicago Silver","chicago-silver","2018","large","Marsh","marsh","1973","This flower is mauve with a thin silver edge, a purple halo and a green throat. ","30","6","t","s","m","4.50","1","6"
"127","Chicago Sugarplum","chicago-sugarplum","0","large","Marsh-Klehm","marsh-klehm","1980","A striking purple lavender blend which has a darker halo with perhaps a touch of blue.","20","6","t","d","e,m","5.00","1","6"
"128","Chicago Sunrise","chicago-sunrise","0","large","Marsh","marsh","1969","Many broad petalled flowers of bright egg-yolk yellow. ","28","6","t","e","m","3.50","1","8"
"129","China Bride","china-bride","0","large","Guidry","guidry","1989","A study in pink,this bitone has rose pink petals and ceam pink sepals.","24","6","d","e","e","5.50","0","0"
"130","China Lake","china-lake","0","large","Munson, R.W.","munson-r-w","1982","A stunning, mauve influenced, purple flower with a cream yellow throat. Sometimes reblooms as a bonus. ","28","6","t","s","m","6.00","1","6"
"131","Chinese Cloisonne","chinese-cloisonne","0","large","Munson, I.","munson-i","1984"," An ivory peach flower enhanced by a slate violet eye and gold throat.","26","5","t","e","e,m","6.50","1","6"
"132","Chinese Temple Flower","chinese-temple-flower","0","large","Munson, I.","munson-i","1980","Deep mauve pink with a large cream throat surrounded by a narrow purple band.","26","5","t","e","e,m","6.00","1","8"
"133","Chocolate Splash","chocolate-splash","0","large","Shooter","shooter","1995","Dark red flowers with a black-purple influence, a darker eye and a green throat","32","5","t","s","m","6.00","1","10"
"134","Christmas Is","christmas-is","0","large","Yancey","yancey","1979","Brilliant scarlet flower with a huge lime green throat","26","5","d","d","e,m","4.00","0","0"
"135","Ciarra Vonnie","ciarra-vonnie","0","large","Reinke","reinke","1994","A salmon gold blend with a striking burgundy eyezone and a green yellow throat.","30","7","d","s","m","5.00","1","10"
"136","Civil Law","civil-law","0","large","Millikan, B.","millikan-b","1990","Ruffled flowers that are a blend of cream and greenish yellow.","26","5","d","s","m","4.00","1","10"
"137","Civil Rights","civil-rights","0","large","Millikan, B.","millikan-b","1988","Pale yellow green flower with a deep green throat.","28","5","d","s","m","4.00","1","7"
"138","Classic Edge","classic-edge","0","large","Stamile","stamile","1998","Mauve pink with a purple eye and edge and a yellow to green throat.","26","6","t","e","m","8.00","1","7"
"139","Comanche Eyes","comanche-eyes","0","large","Guidry","guidry","1985","A pink and cream bicolour with a rose eyezone and a yellow throat.","24","6","d","e","e","5.00","1","8"
"140","Concord","concord","0","large","Kennedy","kennedy","1985","This flower is a most attractive and unusual mauve purple colour, described as mulberry rose. The form is round, ruffled and recurved. Very rare.\r\n*Although registered as evergreen, we have found it to be dormant here.","30","6","t","e","m","6.00","0","0"
"141","Condilla","condilla","0","large","Grooms","grooms","1977","Impeccable double flowers of pure gold (that's the colour !) from this award winner.","20","5","d","d","e,m","4.50","1","6"
"142","Cool Jazz","cool-jazz","0","large","Kirchhoff, D.","kirchhoff-d","1987","Pristine shell pink flowers with wide ruffled petals. In hot weather sepals are a lighter cream pink.","28","6","t","e","e,m","4.00","1","8"
"143","Corinthian Pink","corinthian-pink","0","large","Stamile","stamile","1996","A very large pink flower with a narrow rose pink eye and a yellow green throat.","26","7","t","d","e,m","7.00","1","9"
"144","Country Melody","country-melody","0","large","Klehm","klehm","1987","A delightful rich rose pink flower with a soft yellow halo. The form is round with neat ruffled edges on the petals.","30","6","t","d","m","4.00","1","5"
"145","Court Magician","court-magician","0","large","Munson, R.W.","munson-r-w","1987","A wide ruffled flower of lavender purple with a chalky cream eyezone and a yellow to green throat.","26","5","t","e","e,m","5.50","1","8"
"146","Crayola Violet","crayola-violet","0","large","Stamile","stamile","1990","A rounded,violet purple flower with a green throat.","27","5","d","d","m","5.00","0","0"
"147","Dallas Star","dallas-star","0","large","Ferris, R.","ferris-r","1976","A mauve to lilac, star shaped flower with a green throat. ","28","7","d","s","m","5.00","1","8"
"148","Dan Tau","dan-tau","0","large","Smith, W.H.","smith-w-h","1981","Cream suffused with green, which extends out from the throat. ","24","6","d","s","e","5.00","1","5"
"149","Dance Ballerina Dance","dance-ballerina-dance","0","large","Peck","peck","1976","Apricot pink with frills and ruffles. A milestone in breeding round and ruffled flowers.","24","6","t","d","m","4.00","1","9"
"150","Dance Fever","dance-fever","0","large","Hite","hite","1981","An orange flower with nicely ruffled edging.","25","5","t","d","e,m","4.50","1","10"
"151","Dancing Shiva","dancing-shiva","0","large","Moldovan","moldovan","1974","A medium pink flower with a green yellow throat.","22","5","t","d","e","4.00","1","5"
"152","Daring Dilemma","daring-dilemma","0","large","Salter","salter","1992","A mauve pink flower with a plum eye and matching edge.","24","5","t","s","m","5.00","0","0"
"153","Daring Reflection","daring-reflection","0","large","Guidry","guidry","1986","This dark, wine purple blend has a deeper shadow around the lime green throat. Flowers open early and hold up well throughout the day.","17","6","d","d","e,m","4.50","1","10"
"154","Darrell","darrell","0","large","Durio","durio","1981","A big beautiful flower of light creamy yellow with a green throat.","26","7","t","e","e,m","5.00","1","10"
"155","David Kirchhoff","david-kirchhoff","0","large","Salter","salter","1992","Rich purple, ruffled flower edged in white with a green throat.","26","6","t","s","m,l","6.50","1","8"
"156","Delicate Design","delicate-design","2018","large","Ferguson","ferguson","1980","A fascinating pale yellow flower with red-violet edging and matching halo. The markings can vary in intensity.","28","6","t","d","e","5.50","1","10"
"157","Delghtsome","delghtsome","0","large","Sikes","sikes","1986","Round and ruffled, clear pink blooms of silky smooth texture. One of our favourite pinks. ","16","5","d","d","m","5.00","1","8"
"158","Deloris Gould","deloris-gould","0","large","Gould","gould","1992","Rich, deep yellow with wide ruffled petals and a green throat.","25","5","t","s","e,m","5.00","1","10"
"159","Designer Gown","designer-gown","0","large","Sikes","sikes","1982","This pretty lavender-pink flower has a purple eyezone, a narrow purple edge and a yellow green throat. ","29","6","t","d","m","4.00","1","6"
