79,Borgia Queen,borgia-queen,2015,1,"Munson, R.W.",munson-r-w,1986,A ruffled and slightly recurved flower of silvery mauve pink with a deep mauve eyezone and a lemon to green throat.,26,5,2,1,"m,l",6,1,5
80,Boulderbrook Serenity,boulderbrook-serenity,2014,1,Elliot,elliot,1988,"A large ,gently ruffled, radiant golden yellow flower with an olive green throat. A great performer here.",18,7,1,2,m,6.5,1,8
81,Brand New Lover,brand-new-lover,2014,1,Brooks,brooks,1988,"Round, flat coral rose bitone with a narrow rouged halo and delicate gold edging on the petals. Good rebloom.",28,5,2,2,"e,m",4.5,0,0
82,Bright Beacon,bright-beacon,2014,1,Joiner,joiner,1990,An intriguing copper brown blend with a dark olive green throat.An attractive and unusual colour that draws attention.,30,6,1,1,m,5,0,0
83,Bright Spangles,bright-spangles,2014,1,Baker,baker,1956,An attractive colour combination of red dusted with gold. A tall plant and aptly named.,42,5,1,3,"e,m",4,1,10
84,Brocaded Gown,brocaded-gown,2014,1,"Millikan, B.",millikan-b,1979,A beautifully ruffled and frilly creamy lemon yellow flower. Stout Medal winner 1987.,26,6,1,2,"e,m",4.5,1,8
85,Bubbling Brown Sugar,bubbling-brown-sugar,2014,1,Weston,weston,1987,A yellow cinnamon blend with a brown eyezone and a yellow green throat.,27,5.5,2,3,m,5,1,9
86,Burmese Buddah,burmese-buddah,2012,1,"Munson, R.W.",munson-r-w,1984,"A broad, ruffled golden yellow flower of good substance.",32,6,2,1,"e,m",5,0,0
87,Burning Inheritance,burning-inheritance,2015,1,Salter,salter,1994,A large red flower with whitish midribs. Later blooms are more orange red.,28,6,2,2,m,5.5,1,10
88,Bursting Bubble,bursting-bubble,2012,1,"Shooter, E.",shooter-e,1998,A cream pink blend with a faint lavender rose eye and a light green throat.,28,6,1,2,m,5,1,8
89,Buzz Bomb,buzz-bomb,2014,1,Hall,hall,1961,A vibrant red flower with an orange influence which really stands out in the garden.,24,4.75,1,3,"e,m",3,0,0
90,By Myself,by-myself,2012,1,Peck,peck,1971,"A large, light gold self. An award winner and a real 'Golden Oldie'.",32,6.5,2,3,m,4,1,6
91,Cabbage Flower,cabbage-flower,2014,1,"Kirchhoff, D.",kirchhoff-d,1984,An award winning pastel yellow double flower which has proved to be consistent her. Registered as extra early but we find it blooms a bit later.,17,4.5,1,1,e,5.5,1,10
92,California Sunshine,california-sunshine,2012,1,"Chesnik, J.",chesnik-j,1985,"Bright yellow self, as the name suggests.",33,6.5,2,2,"e,m",5,1,8
93,Caliphs Robes,caliphs-robes,2013,1,"Munson, R.W.",munson-r-w,1981,A mauve flower with a plum eyezone and a yellow throat. The sepals are paler than the petals.,28,6,2,1,m,4.5,1,8
94,Call Girl,call-girl,2013,1,Peck,peck,1980,"Frilly, round and ruffled flowers from 'Dance Ballerina Dance' breeding. The colour is a sparkling melon to apricot.",27,6,2,3,m,4.5,1,6
95,Cameroons,cameroons,2014,1,"Munson, R.W.",munson-r-w,1984,This distinctive daylily is a rich claret purple colour with a chalky pink watermark eyezone and a yellow to green throat. Sepals twist and curl attractively,28,5,2,2,m,7,1,9
96,Canadian Border Patrol,canadian-border-patrol,2014,1,Salter,salter,1995,Ivory cream with a purple eyezone and edge. One of the best picotee edged daylilies.,28,6,2,2,"e,m",9.5,0,0
97,Candor,candor,2014,1,Whatley,whatley,1988,"A majestic, ruffled, creamy white of good substance with a large green throat. Rarely offered for sale.",28,6,2,2,m,6.5,1,6
98,Cantique,cantique,2014,1,Bryant,bryant,1986,"A fine, clear pink flower with a tiny green throat. A daylily that deserves wider recognition.",22,5.25,1,3,m,4,1,2
99,Cape Cod,cape-cod,2012,1,Wild,wild,1970,"A deep, wine red flower with a tangerine throat.",34,4.5,1,3,"e,m",4,0,0
100,Caribbean Frank League,caribbean-frank-league,2015,1,Talbott,talbott,1993,"A very dark, almost black, red flower with an even darker black-red eyezone and an emerald green throat.",24,5,2,1,m,6,1,9
101,Carlotta,carlotta,2014,1,"Millikan, B.",millikan-b,1986,A round and ruffled cherry red and pink blend.,25,4.5,1,2,"e,m",5,1,8
102,Carrot,carrot,2012,1,"Brown, E.W.",brown-e-w,1985,A carrot orange flower with lighter midribs.,25,5.5,2,3,m,4.5,1,8
103,Cartwheels,cartwheels,2014,1,Fay,fay,1956,"Deep yellow flowers, the segments of which resemble the spokes of a wheel. An historic cultivar which was awarded the Stout Medal in 1966 ",30,5,1,3,m,2.5,1,10
104,Casino Gold,casino-gold,2016,1,Brooks,brooks,1991,"Another good one from Bob Brooks, this sunny yellow gold flower is a sibling to 'Icy Lemon'.",32,5.5,2,2,m,5.5,1,9
105,Catherine Neal,catherine-neal,2014,1,"Carpenter, J.",carpenter-j,1981,Stunning deep purple flowers of round and ruffled form. Not as late blooming here as registered but usually mid-late.,30,6,1,3,"m,l",4,1,6
106,Catherine Woodbery,catherine-woodbery,2014,1,Childs,childs,1967,"An ethereal blend of lavender, pink and cream with a pale green throat. Delicate looking and graceful.",30,6,1,3,"m,l",4,0,0
107,Caviar,caviar,2014,1,Moldovan,moldovan,1984,A very dark maroon red with a small yellow green throat.,26,5,2,3,m,4,1,10
108,Celestial City,celestial-city,2014,1,Moldovan,moldovan,1990,A pastel ivory flower brushed with pale lavender and edged in white.,23,5.75,2,1,e,5,1,3
109,Celestial Eyes,celestial-eyes,2012,1,Lambertson,lambertson,2000,"A blend of cream,peach and pink with a stunning slate violet eye and matching edge.",24,6,2,2,"e,m",10,1,8
110,Challenger,challenger,2012,1,Stout,stout,1949,"A tall, dark red daylily which was part of Dr Stout's pioneering work with this colour. ",48,5,1,1,m,4,1,6
111,Chance Encounter,chance-encounter,2014,1,Stamile,stamile,1994,"An attractive and unusual shade of pink, registered as a raspberry rose blend. Petals are ruffled with a hint of a fine gold edge. Really stands out from the crowd.",25,6,2,3,"e,m",9,0,0
112,Charles Johnston,charles-johnston,2014,1,Gates,gates,1983,"A rounded, lightly ruffled cherry red flower with a slight bluish cast and a yellow green throat.",24,6,2,2,"e,m",4,1,5
113,Charlie Pierce Memorial,charlie-pierce-memorial,2014,1,Pierce,pierce,1987,A round and ruffled mauve-lavender flower with a purple eye and a green throat.,24,6,1,2,"e,m",5.5,0,0
114,Cherry Cheeks,cherry-cheeks,2014,1,Peck,peck,1968,A deep cherry pink flower with a cream throat and contrasting black anthers.,28,6,2,3,"m,l",3,1,2
115,Cherry Eyed Pumpkin,cherry-eyed-pumpkin,2014,1,"Kirchhoff, D.",kirchhoff-d,1991,A pumpkin coloured flower with a red eye. Flowers sometimes triangular in shape instead of round.,28,5.75,2,2,e,5,1,9
116,Chestnut Lane,chestnut-lane,2014,1,Blyth,blyth,1981,"An eyecatching daylily from Australia. Tall and stately, the flower is golden-brown with a rich chestnut eyezone and a gold throat.",36,6,2,1,"e,m",4,0,0
117,Chestnut Mountain,chestnut-mountain,2015,1,Salter,salter,1989,A ruffled flower of light golden yellow overlaid with tan.,24,5.5,2,1,"e,m",7.5,1,4
118,Chicago Antique Tapestry,chicago-antique-tapestry,2014,1,Marsh-Klehm,marsh-klehm,1985,This rose pink flower has darker veining and a texture that imparts a slightly stippled effect.,28,5.5,2,3,m,6.5,1,4
119,Chicago Apache,chicago-apache,2014,1,Marsh,marsh,1981,A ruffled flower of deep scarlet. One of the most popular reds and an excellent performer.,27,5,2,3,m,4,1,5
120,Chicago Fire,chicago-fire,2014,1,Marsh,marsh,1983,"Fiery, orange red flowers in abundance.",34,6,2,2,m,4,1,4
121,Chicago Knobby,chicago-knobby,2014,1,Marsh,marsh,1974,A light purple flower with a deeper centre and tightly ruffled edges. ,22,6,2,2,"e,m",4,1,10
122,Chicago Picotee Memories,chicago-picotee-memories,2014,1,Marsh-Klehm,marsh-klehm,1987,A creamy white flower with a vivid purple eyezone and matching picotee edge. Still one of the best eyed and edged daylilies for our climate.,30,5.5,2,3,"e,m",5.5,1,5
123,Chicago Queen,chicago-queen,2014,1,Marsh,marsh,1974,Mauve-purple flowers are produced in abundance on this fine garden plant. A favourite here.,28,7,2,2,m,4,1,4
124,Chicago Royal,chicago-royal,2014,1,Marsh,marsh,1970,Large flowers of a rich plum purple. Taller here than registered. ,24,7,2,2,m,3.5,1,4
125,Chicago Royal Robe,chicago-royal-robe,2014,1,Marsh,marsh,1977,A reddish purple flower with a green throat that remains popular.,25,5.5,2,2,e,3.5,1,10
126,Chicago Silver,chicago-silver,2018,1,Marsh,marsh,1973,"This flower is mauve with a thin silver edge, a purple halo and a green throat. ",30,6,2,2,m,4.5,1,6
127,Chicago Sugarplum,chicago-sugarplum,2014,1,Marsh-Klehm,marsh-klehm,1980,A striking purple lavender blend which has a darker halo with perhaps a touch of blue.,20,6,2,3,"e,m",5,1,6
128,Chicago Sunrise,chicago-sunrise,2014,1,Marsh,marsh,1969,Many broad petalled flowers of bright egg-yolk yellow. ,28,6,2,1,m,3.5,1,8
129,China Bride,china-bride,2014,1,Guidry,guidry,1989,"A study in pink,this bitone has rose pink petals and ceam pink sepals.",24,6,1,1,e,5.5,0,0
130,China Lake,china-lake,2015,1,"Munson, R.W.",munson-r-w,1982,"A stunning, mauve influenced, purple flower with a cream yellow throat. Sometimes reblooms as a bonus. ",28,6,2,2,m,6,1,6
131,Chinese Cloisonne,chinese-cloisonne,2012,1,"Munson, I.",munson-i,1984, An ivory peach flower enhanced by a slate violet eye and gold throat.,26,5,2,1,"e,m",6.5,1,6
132,Chinese Temple Flower,chinese-temple-flower,2013,1,"Munson, I.",munson-i,1980,Deep mauve pink with a large cream throat surrounded by a narrow purple band.,26,5,2,1,"e,m",6,1,8
133,Chocolate Splash,chocolate-splash,2015,1,Shooter,shooter,1995,"Dark red flowers with a black-purple influence, a darker eye and a green throat",32,5,2,2,m,6,1,10
134,Christmas Is,christmas-is,2014,1,Yancey,yancey,1979,Brilliant scarlet flower with a huge lime green throat,26,4.5,1,3,"e,m",4,0,0
